"MM33"	"MM42"	"MM23"	"MM41"	"MM32"	"MM39"	"MM9"	"MM38"	"MM6"	"MM3"	"MM14"	"MM15"	"MM13"	"MM24"	"MM4"	"MM40"	"MM19"	"MM20"	"MM28"	"MM25"	"MM17"	"MM1"	"MM35"	"MM26"	"MM16"	"MM29"	"MM10"	"MM7"	"MM21"	"MM2"	"MM5"	"MM18"	"MM8"	"MM34"	"MM22"	"MM31"	"MM27"	"MM37"	"MM30"	"MM11"	"MM36"	"MM12"	"MM45"	"MM43"	"MM44"
"153084"	0	0	1	0	0	0	0	0	6	2	1	9	1	1	0	0	4	1	1	0	0	47	0	0	1	0	6	7	2	27	0	1	0	0	11	0	0	0	2	0	0	0	0	0	1
"822112"	4	57	19	19	2	123	21	36	15	24	26	12	7	5	56	43	8	14	13	13	10	49	25	6	22	16	9	24	4	26	28	12	16	8	13	37	17	47	9	29	78	20	49	89	64
"4453998"	0	0	1	0	0	6	0	9	0	2	1	0	1	0	3	6	0	0	0	3	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	4	0	0	8	0	1	0	8
"611360"	0	0	0	0	1	0	2	0	1	4	1	7	5	0	2	0	2	2	5	0	8	0	4	1	1	0	2	4	2	1	1	0	11	1	1	2	1	1	0	4	3	3	0	0	1
"4429771"	0	0	16	0	0	0	1	0	0	1	0	3	0	21	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1143820"	1	1	6	5	2	9	3	8	3	2	12	15	2	10	10	6	2	10	3	4	6	4	1	2	2	3	2	23	3	6	1	7	10	0	15	0	5	8	2	4	8	9	1	0	10
"3167757"	0	0	0	0	0	1	0	0	0	2	1	2	0	3	0	0	2	0	0	0	0	7	0	1	0	0	0	3	0	0	0	1	3	0	0	0	0	0	2	0	1	2	0	1	0
"128171"	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	16	0	7	3	7
"3581985"	0	4	0	14	0	65	0	30	0	1	2	0	0	2	2	14	0	0	0	0	0	3	0	0	2	0	0	6	0	0	2	0	0	0	0	1	0	35	0	0	99	0	30	9	37
"808372"	1	0	0	0	1	0	0	1	4	0	0	11	1	7	2	0	1	0	2	1	0	4	0	3	0	3	1	2	8	0	6	4	1	0	0	0	2	0	2	2	1	5	0	0	1
"315609"	0	4	6	0	1	1	11	3	4	5	18	44	13	4	12	0	12	109	5	5	7	4	2	3	11	29	3	17	2	5	3	5	38	1	15	1	9	2	18	22	15	11	2	2	2
"1145162"	1	0	1	3	0	7	0	6	0	1	4	2	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	5	0	0	14	0	8	0	18
"29704"	2	2	6	0	1	3	8	5	6	6	9	13	3	13	13	1	10	5	8	8	32	7	0	26	3	6	3	13	4	9	8	5	11	0	34	0	14	13	65	11	6	41	1	0	6
"142376"	0	0	1	0	0	0	0	0	0	5	4	0	0	1	3	1	0	3	0	0	2	0	0	0	15	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4319020"	0	0	0	0	0	1	0	0	1	4	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	2
"1120966"	156	95	86	59	68	67	141	119	98	159	69	24	68	53	81	40	103	104	65	76	47	141	251	176	74	81	167	113	163	68	80	127	79	89	50	548	77	82	71	98	258	115	56	266	122
"4384016"	2	2	9	1	0	8	6	2	8	15	1	6	5	1	8	4	9	5	12	4	2	9	5	1	4	9	2	10	0	12	7	4	3	3	0	8	3	2	8	7	3	8	1	29	8
"4418260"	0	0	7	0	0	0	7	0	6	3	4	8	5	4	5	0	0	1	4	4	8	9	4	1	5	7	0	8	6	8	1	5	10	0	4	0	2	0	4	1	0	0	0	0	1
"4356361"	6	2	0	0	3	9	17	5	6	10	11	0	0	0	1	5	0	1	2	0	2	0	8	4	3	4	20	6	1	3	3	0	1	11	0	18	6	3	0	3	27	0	7	13	11
"170339"	24	95	40	54	9	255	100	356	271	200	126	7	17	11	111	168	36	65	87	30	47	118	33	20	63	65	45	193	29	102	112	30	32	4	8	121	48	192	6	56	459	21	182	435	347
"843003"	30	36	19	8	5	61	63	37	61	44	27	13	7	7	60	40	13	33	21	21	2	75	26	18	34	32	32	61	8	26	35	15	15	6	6	97	6	40	5	32	129	31	51	124	49
"1144790"	2	5	2	4	5	4	4	0	0	5	1	3	2	2	4	1	5	0	0	3	2	3	1	0	0	0	0	0	2	2	1	2	0	7	6	0	0	3	5	1	1	1	1	4	1
"4335779"	0	3	1	6	1	0	0	2	2	1	2	0	0	0	2	7	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	2	0	4	0	0	0	0	0	0	4	0	0
"218239"	5	5	0	1	2	2	5	1	0	0	2	5	1	1	0	0	2	0	0	0	0	1	1	0	0	0	0	3	0	3	0	0	1	1	0	1	0	2	1	0	1	0	6	0	1
"101884"	45	4	18	11	16	1	5	2	2	5	1	26	20	10	11	3	17	6	16	3	2	8	1	8	14	8	6	1	5	8	4	11	21	16	10	0	4	0	9	21	0	17	0	1	0
"3067471"	3	0	3	1	1	0	0	2	0	3	0	2	5	2	1	2	2	0	2	5	1	1	0	2	5	0	1	0	2	5	0	0	1	1	0	0	4	0	0	1	0	3	0	1	0
"4333253"	1	0	1	1	17	0	0	1	0	1	0	6	2	2	1	0	0	0	5	2	5	0	0	0	0	1	0	0	0	0	1	0	8	1	3	1	0	0	0	4	1	1	0	0	0
"203975"	11	0	4	0	47	0	0	0	0	0	0	22	1	0	0	0	6	0	3	0	5	0	0	0	1	1	0	0	1	0	0	3	7	23	4	3	1	0	1	3	0	1	0	0	0
"225788"	14	0	6	1	27	0	0	0	0	0	0	2	5	1	3	0	3	0	1	1	13	0	1	0	0	0	0	0	0	3	1	0	7	12	3	0	1	0	0	0	0	2	0	0	0
"56109"	1	0	1	0	9	0	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	0	0	0	2	0	0	0	0	0	0
