#OTU_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
EF019537.1.1350	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Cytophagales	 D_4__Microscillaceae	 D_5__uncultured	 D_6__uncultured bacterium
JN023868.1.1454	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Acidobacteriia	 D_3__Solibacterales	 D_4__Solibacteraceae (Subgroup 3)	 D_5__Candidatus Solibacter	 D_6__uncultured bacterium
AF465657.1.1462	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Planctomycetacia	 D_3__Gemmatales	 D_4__Gemmataceae	 D_5__uncultured	 Ambiguous_taxa
FPLS01017907.9.1534	D_0__Bacteria	 D_1__Chlamydiae	 D_2__Chlamydiae	 D_3__Chlamydiales	 D_4__Parachlamydiaceae	 D_5__uncultured	 D_6__metagenome
GQ056820.1.1330	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Corynebacteriales	 D_4__Mycobacteriaceae	 D_5__Mycobacterium	 D_6__uncultured bacterium
EU132005.1.1260	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Blastocatellia (Subgroup 4)	 D_3__Pyrinomonadales	 D_4__Pyrinomonadaceae	 D_5__RB41	 D_6__uncultured bacterium
EU801926.1.1446	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Xanthobacteraceae	 D_5__Pseudolabrys	 D_6__uncultured bacterium
EF018549.1.1371	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Acidobacteriia	 D_3__Solibacterales	 D_4__Solibacteraceae (Subgroup 3)	 D_5__Bryobacter	 D_6__uncultured bacterium
DQ450743.1.1359	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Chitinophagales	 D_4__Chitinophagaceae	 D_5__uncultured	 D_6__uncultured Bacteroidetes bacterium
FPLK01000585.11.1492	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rickettsiales	 D_4__Rickettsiaceae	 D_5__uncultured	 D_6__metagenome
JF219873.1.1339	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Micromonosporales	 D_4__Micromonosporaceae	 D_5__Actinoplanes	 D_6__uncultured bacterium
FPLS01024543.18.1493	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Tistrellales	 D_4__Geminicoccaceae	 D_5__Candidatus Alysiosphaera	 Ambiguous_taxa
KP965719.1.1426	D_0__Bacteria	 D_1__Firmicutes	 D_2__Bacilli	 D_3__Bacillales	 D_4__Bacillaceae	 D_5__Bacillus	 D_6__Bacillus sp. S95
EF516878.1.1487	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Pedosphaerales	 D_4__Pedosphaeraceae	 D_5__uncultured bacterium	 D_6__uncultured bacterium
HQ462513.1.1303	D_0__Bacteria	 D_1__Gemmatimonadetes	 D_2__Gemmatimonadetes	 D_3__Gemmatimonadales	 D_4__Gemmatimonadaceae	 D_5__uncultured	 D_6__uncultured Gemmatimonadaceae bacterium
LWSF01000007.254575.256182	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Pseudonocardiales	 D_4__Pseudonocardiaceae	 D_5__Amycolatopsis	 Ambiguous_taxa
LN572963.1.1392	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Myxococcales	 D_4__bacteriap25	 D_5__uncultured bacterium	 D_6__uncultured bacterium
KY445675.1.1511	D_0__Bacteria	 D_1__Firmicutes	 D_2__Bacilli	 D_3__Bacillales	 D_4__Paenibacillaceae	 D_5__Paenibacillus	 Ambiguous_taxa
AB630656.1.1456	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Chthoniobacterales	 D_4__Xiphinematobacteraceae	 D_5__Candidatus Xiphinematobacter	 D_6__uncultured bacterium
AY963347.1.1422	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Acidobacteriia	 D_3__Acidobacteriales	 D_4__Acidobacteriaceae (Subgroup 1)	 D_5__Acidipila	 D_6__uncultured bacterium
KJ410583.1.1283	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Steroidobacterales	 D_4__Steroidobacteraceae	 D_5__Steroidobacter	 D_6__uncultured Steroidobacter sp.
JQ660096.1.1443	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Propionibacteriales	 D_4__Nocardioidaceae	 D_5__Nocardioides	 Ambiguous_taxa
LN908787.1.1385	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Streptomycetales	 D_4__Streptomycetaceae	 D_5__Streptomyces	 D_6__Streptomyces turgidiscabies
DQ676319.1.1395	D_0__Bacteria	 D_1__Chloroflexi	 D_2__JG30-KF-CM66	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa
AB486651.1.1378	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Planctomycetacia	 D_3__Gemmatales	 D_4__Gemmataceae	 D_5__uncultured	 D_6__uncultured bacterium
KY266799.1.1279	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Micrococcales	 D_4__Microbacteriaceae	 D_5__Microbacterium	 D_6__bacterium
GQ339176.1.1456	D_0__Bacteria	 D_1__Chloroflexi	 D_2__Anaerolineae	 D_3__SBR1031	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
EU134856.1.1335	D_0__Bacteria	 D_1__Gemmatimonadetes	 D_2__Gemmatimonadetes	 D_3__Gemmatimonadales	 D_4__Gemmatimonadaceae	 D_5__uncultured	 D_6__uncultured bacterium
HQ324861.1.1509	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Gammaproteobacteria Incertae Sedis	 D_4__Unknown Family	 D_5__uncultured bacterium	 D_6__uncultured bacterium
JN559158.1.1470	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Phycisphaerae	 D_3__Tepidisphaerales	 D_4__WD2101 soil group	 D_5__uncultured bacterium	 D_6__uncultured bacterium
AGJN02000035.32544.34030	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Frankiales	 D_4__Frankiaceae	 D_5__Frankia	 Ambiguous_taxa
EF111052.1.1204	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Caulobacterales	 D_4__Hyphomonadaceae	 D_5__SWB02	 D_6__uncultured alpha proteobacterium
FJ822636.1.1392	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Chthoniobacterales	 D_4__Chthoniobacteraceae	 D_5__Chthoniobacter	 D_6__uncultured Verrucomicrobia bacterium
KF080558.1.1339	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Frankiales	 D_4__Frankiaceae	 D_5__Jatrophihabitans	 D_6__uncultured bacterium
JF180342.1.1326	D_0__Bacteria	 D_1__Patescibacteria	 D_2__Saccharimonadia	 D_3__Saccharimonadales	 D_4__Saccharimonadaceae	 D_5__uncultured bacterium	 D_6__uncultured bacterium
EF516218.1.1461	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Bdellovibrionales	 D_4__Bdellovibrionaceae	 D_5__Bdellovibrio	 D_6__uncultured bacterium
FN811247.1.1494	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Holophagae	 D_3__Subgroup 7	 D_4__uncultured Acidobacteria bacterium	 D_5__uncultured Acidobacteria bacterium	 D_6__uncultured Acidobacteria bacterium
FPLS01015887.21.1486	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Chitinophagales	 D_4__Chitinophagaceae	 D_5__Flavitalea	 Ambiguous_taxa
KC331483.1.1497	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Oligoflexales	 D_4__Oligoflexaceae	 D_5__uncultured	 D_6__uncultured bacterium
GQ262878.1.1483	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Nitrosomonadaceae	 D_5__MND1	 D_6__uncultured bacterium
FPLS01004848.11.1481	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Rhizobiales Incertae Sedis	 D_5__Bauldia	 Ambiguous_taxa
FJ660562.1.1507	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Myxococcales	 D_4__Polyangiaceae	 D_5__Polyangium	 D_6__uncultured bacterium
JF198649.1.1338	D_0__Bacteria	 D_1__Armatimonadetes	 D_2__uncultured	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
JF428910.1.1505	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Sphingobacteriales	 D_4__Sphingobacteriaceae	 D_5__Mucilaginibacter	 Ambiguous_taxa
DQ404731.1.1517	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa
KC554792.1.1515	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Thermoleophilia	 D_3__Solirubrobacterales	 D_4__67-14	 D_5__uncultured bacterium	 D_6__uncultured bacterium
FPLM01002840.15.1513	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Frankiales	 D_4__Frankiaceae	 D_5__Jatrophihabitans	 Ambiguous_taxa
EU134315.1.1380	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Phycisphaerae	 D_3__mle1-8	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
JF265697.1.1362	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__uncultured	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
KF826889.1.1437	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Burkholderiaceae	 Ambiguous_taxa	 Ambiguous_taxa
EU786130.1.1459	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Phycisphaerae	 D_3__Tepidisphaerales	 D_4__WD2101 soil group	 D_5__uncultured bacterium	 D_6__uncultured bacterium
LN573903.1.1381	D_0__Bacteria	 D_1__Elusimicrobia	 D_2__Lineage IIa	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
FPLS01025427.9.1500	D_0__Bacteria	 D_1__Gemmatimonadetes	 D_2__Gemmatimonadetes	 D_3__Gemmatimonadales	 D_4__Gemmatimonadaceae	 D_5__uncultured	 Ambiguous_taxa
JN038614.1.1527	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Pedosphaerales	 D_4__Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa
FN794255.1.1445	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Rhizobiaceae	 D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 D_6__uncultured bacterium
JQ979021.1.1507	D_0__Bacteria	 D_1__Actinobacteria	 D_2__MB-A2-108	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa
KX508001.1.1492	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Burkholderiaceae	 Ambiguous_taxa	 D_6__uncultured bacterium
JN541139.1.1504	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Xanthomonadales	 D_4__Rhodanobacteraceae	 D_5__Dokdonella	 Ambiguous_taxa
EF558999.1.1442	D_0__Bacteria	 D_1__Firmicutes	 D_2__Clostridia	 D_3__Clostridiales	 D_4__Heliobacteriaceae	 D_5__Hydrogenispora	 D_6__uncultured bacterium
HM319303.1.1309	D_0__Bacteria	 D_1__Chloroflexi	 D_2__KD4-96	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
LN570669.1.1376	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Chitinophagales	 D_4__Chitinophagaceae	 D_5__Flavitalea	 D_6__uncultured bacterium
EU528219.1.1338	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Nitrosomonadaceae	 D_5__Ellin6067	 D_6__uncultured bacterium
KF803323.1.1432	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Beijerinckiaceae	 D_5__Bosea	 D_6__Bosea sp. FZ88
FPLL01006529.13.1476	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Beijerinckiaceae	 D_5__uncultured	 D_6__metagenome
FJ624928.1.1478	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Acidobacteriia	 D_3__Acidobacteriales	 D_4__uncultured	 D_5__uncultured bacterium	 D_6__uncultured bacterium
